"cat_var","group1","group2","median1","iqr2","median2","medianChange","iqr_change","n1","n2","statistic","p.adj"
"DRV/r","0","24",755107,374478.333333333,654897,25499,222804.75,13,13,43,0.893
"DRV/r","0","48",751746,354479.916666667,799986,47364.5,199075,26,26,84,0.114
"DRV/r","0","96",755107,350376.666666667,790849,58874,182578.75,25,25,95,0.213
"DRV/r","24","48",751418.5,467286.5,671618,-6817,190205.166666667,12,12,44,0.8796
"DRV/r","24","96",755848,375121,815363,33540,161676,15,15,44,0.778
"DRV/r","48","96",773533,217306.333333333,800115,27639,176071,23,23,125,0.8796
"DTG","0","24",834666.5,312566.75,973487.5,98052,176412.083333333,20,20,52,0.0726
"DTG","0","48",788174,279461,935456,112426,184920.833333333,25,25,41,0.001668
"DTG","0","96",786304,221307.666666667,965992,154319.5,204708.666666667,24,24,29,0.00123
"DTG","24","48",909257,239801.416666667,964298,51746,179725,26,26,69,0.01122
"DTG","24","96",886425,247723.25,958014.5,47761,288152,22,22,92,0.3312
"DTG","48","96",917476,234882,947144,21814,215576.583333333,29,29,177,0.393
